4746435,5,25633,84238,936,19920407,3MEDIUM,0,19,2322237,22492286,10,2090013,73333,7,19920602,TRUCK,19920407,April 7 1992,Wednesday,April,1992,199204,Apr1992,4,7,98,4,15,Spring,0,1,0,1,25633,Customer#000025633,JiGAuNH1cTKMoiu,ETHIOPIA 6,ETHIOPIA,AFRICA,15-799-588-4493,HOUSEHOLD,936,Supplier#000000936,pxi3HV92QjlaV8cH,PERU     9,PERU,AMERICA,27-100-538-9635,84238,dodger mint,MFGR#1,MFGR#12,MFGR#1226,coral,PROMO ANODIZED BRASS,28,MED DRUM
4698690,2,6433,55023,1892,19931118,5LOW,0,44,4303288,26709601,2,4217222,58681,7,19940105,RAIL,19931118,November 18 1993,Friday,November,1993,199311,Nov1993,6,18,322,11,47,Christmas,0,1,0,1,6433,Customer#000006433,RXBbvT8QxxVJJ9WHVxfT,ROMANIA  9,ROMANIA,EUROPE,29-414-375-1243,FURNITURE,1892,Supplier#000001892,ruZKTTTDZnWMaVmc,EGYPT    2,EGYPT,MIDDLE EAST,14-677-485-8489,55023,rose metallic,MFGR#4,MFGR#44,MFGR#4435,lime,MEDIUM BURNISHED BRASS,17,LG JAR
1720551,2,14174,2318,1210,19960322,3MEDIUM,0,2,244062,20487879,1,241621,73218,0,19960503,MAIL,19960322,March 22 1996,Saturday,March,1996,199603,Mar1996,7,22,82,3,12,Winter,1,1,0,0,14174,Customer#000014174,NOolGGG9BY CI,EGYPT    4,EGYPT,MIDDLE EAST,14-634-551-3490,BUILDING,1210,Supplier#000001210,xyRzUcZz7REOzSWOe,INDONESIA1,INDONESIA,ASIA,19-202-315-9048,2318,midnight maroon,MFGR#3,MFGR#35,MFGR#3535,olive,ECONOMY BRUSHED COPPER,46,JUMBO PACK
5585091,2,22471,110633,1081,19920918,4NOT SPECIFIED,0,37,6081431,17058465,2,5959802,98617,1,19921028,REG AIR,19920918,September 18 1992,Saturday,September,1992,199209,Sep1992,7,18,262,9,38,Fall,1,1,0,0,22471,Customer#000022471,bZ8vJ4q0IOPY,5L,ARGENTINA6,ARGENTINA,AMERICA,11-274-974-7879,1081,Supplier#000001081,8D2iQvYVKkL5G PqKRKacJ,MOROCCO  1,MOROCCO,AFRICA,25-866-942-1021,110633,drab azure,MFGR#1,MFGR#13,MFGR#1311,sienna,SMALL BRUSHED BRASS,20,WRAP PACK
1979235,1,23500,2597,1537,19920428,5LOW,0,22,3299098,21274490,4,3167134,89975,8,19920710,MAIL,19920428,April 28 1992,Wednesday,April,1992,199204,Apr1992,4,28,119,4,18,Spring,0,1,0,1,23500,Customer#000023500,BbDMhCcYJ,"",RUSSIA   2,RUSSIA,EUROPE,32-749-800-4042,1537,Supplier#000001537,2Ku9xeVhB04ShE4Y4jhPIt,UNITED KI2,UNITED KINGDOM,EUROPE,33-482-334-6480,2597,lace spring,MFGR#2,MFGR#21,MFGR#2128,metallic,MEDIUM ANODIZED STEEL,20,LG CAN
4899847,2,26029,98488,1596,19930921,3MEDIUM,0,9,1337832,14640408,6,1257562,89188,1,19931214,AIR,19930921,September 21 1993,Wednesday,September,1993,199309,Sep1993,4,21,264,9,38,Fall,0,1,0,1,26029,Customer#000026029,fITOEenNLT,hMUje,ALGERIA  6,ALGERIA,AFRICA,10-621-922-5479,1596,Supplier#000001596,kpJ5iBWW,ARGENTINA4,ARGENTINA,AMERICA,11-259-884-2046,98488,saddle papaya,MFGR#1,MFGR#11,MFGR#1128,lime,MEDIUM ANODIZED NICKEL,24,JUMBO JAR
5967552,3,13669,156517,18,19970421,3MEDIUM,0,36,5664636,34879617,8,5211465,94410,8,19970526,FOB,19970421,April 21 1997,Tuesday,April,1997,199704,Apr1997,3,21,111,4,16,Spring,0,1,0,1,13669,Customer#000013669,EadgH5ODMjCeZggs8M5py v,CHINA    0,CHINA,ASIA,28-636-835-9420,BUILDING,18,Supplier#000000018,ckk5mWb4q,MOZAMBIQU7,MOZAMBIQUE,AFRICA,26-155-215-1315,156517,smoke snow,MFGR#1,MFGR#14,MFGR#144,chocolate,PROMO BURNISHED COPPER,25,JUMBO BAG
2164742,3,21658,184443,1768,19930922,1URGENT,0,3,458232,29835472,8,421573,91646,2,19931201,SHIP,19930922,September 22 1993,Thursday,September,1993,199309,Sep1993,5,22,265,9,38,Fall,0,1,0,1,21658,Customer#000021658,IC8WWFoRkBxf8mIs3,INDIA    8,INDIA,ASIA,18-792-664-4028,AUTOMOBILE,1768,Supplier#000001768,7KWHerQgWUiX,RUSSIA   3,RUSSIA,EUROPE,32-746-769-7890,184443,metallic misty,MFGR#4,MFGR#44,MFGR#442,green,MEDIUM POLISHED BRASS,25,JUMBO PKG
1179844,2,7142,132948,1636,19960723,1URGENT,0,25,4952350,16273917,9,4506638,118856,8,19961007,FOB,19960723,July 23 1996,Wednesday,July,1996,199607,Jul1996,4,23,205,7,30,Summer,0,1,0,1,7142,Customer#000007142,7XrN,soa7mreoSN,ROMANIA  9,ROMANIA,EUROPE,29-601-664-9135,1636,Supplier#000001636,UIiUL3Tiyl08Yaxn2V3,IRAN     1,IRAN,MIDDLE EAST,20-559-573-5410,132948,beige indian,MFGR#5,MFGR#54,MFGR#5415,grey,ECONOMY PLATED TIN,32,LG PKG
3430528,2,18491,133673,1222,19940816,5LOW,0,43,7338681,17286017,8,6751586,102400,8,19941103,SHIP,19940816,Augest 16 1994,Wednesday,Augest,1994,199408,Aug1994,4,16,228,8,33,Summer,0,1,0,1,18491,Customer#000018491,Mv7KqIOCpb79Y QbW PW,PERU     6,PERU,AMERICA,27-530-974-3991,AUTOMOBILE,1222,Supplier#000001222,v2dnmM88xCWcSvHzTApzYSAG,EGYPT    4,EGYPT,MIDDLE EAST,14-709-519-4959,133673,cream goldenrod,MFGR#2,MFGR#22,MFGR#2237,peru,STANDARD ANODIZED BRASS,20,MED DRUM
